n,kind,eps,metric,mean,ci_low,ci_high,circuits
6,break_X,0.0,A1,0.6352079335998679,0.5998855580145541,0.668855274663583,24
6,break_X,0.01,A1,0.6314564919465544,0.5966316010452448,0.6650006916469026,24
6,break_X,0.03,A1,0.6029976559316977,0.5681363221303407,0.6362562960745118,24
6,break_X,0.1,A1,0.394966514930369,0.3681877368053411,0.4219391464937785,24
6,break_X,0.3,A1,0.0949055562497647,0.0845200202505853,0.1066356787309209,24
6,break_X,1.0,A1,0.0863484597728137,0.0767421861140862,0.0963392461925738,24
6,preserve_Z,0.0,A1,0.6352079335998679,0.6006792841470948,0.6692483447490556,24
6,preserve_Z,0.01,A1,0.6379611295768369,0.6042151736218931,0.6704615072142736,24
6,preserve_Z,0.03,A1,0.6320946006934328,0.6004308997727608,0.6629477152422534,24
6,preserve_Z,0.1,A1,0.6260567280895867,0.5956782039087114,0.6557711491032266,24
6,preserve_Z,0.3,A1,0.6006453102435475,0.5688298607436493,0.6302631243493103,24
6,preserve_Z,1.0,A1,0.585064752777171,0.5630805092866988,0.6065357822139015,24
6,break_X,0.0,aligned_retention,0.597827184806334,0.5866293623065247,0.6095552937635996,24
6,break_X,0.01,aligned_retention,0.5959665357250148,0.5845326342920579,0.6079436651262939,24
6,break_X,0.03,aligned_retention,0.5808011366188953,0.5692213659363282,0.5924735227671368,24
6,break_X,0.1,aligned_retention,0.4661970401571935,0.4519392711769522,0.4799344788107277,24
6,break_X,0.3,aligned_retention,0.2973811590471049,0.2868045590664995,0.3081110652412172,24
6,break_X,1.0,aligned_retention,0.2069215420947077,0.1993001507827083,0.21428066742397,24
6,preserve_Z,0.0,aligned_retention,0.597827184806334,0.5865588799332481,0.6097116349256975,24
6,preserve_Z,0.01,aligned_retention,0.5992809736333108,0.5877663513101505,0.6108821363195327,24
6,preserve_Z,0.03,aligned_retention,0.6006206620319574,0.588775061230284,0.6126042473276265,24
6,preserve_Z,0.1,aligned_retention,0.5977278322595051,0.586892242952073,0.6089807517201525,24
6,preserve_Z,0.3,aligned_retention,0.5900009556970071,0.5734876888502708,0.6062547124193569,24
6,preserve_Z,1.0,aligned_retention,0.5880212275963866,0.5747485525880213,0.6016130691291873,24
6,break_X,0.0,physical_retention1,0.5482466446395957,0.529419587458663,0.5670292948328096,24
6,break_X,0.01,physical_retention1,0.5437693432078201,0.5251890874482964,0.562455058983555,24
6,break_X,0.03,physical_retention1,0.511374722015919,0.4921584377015089,0.5311752157468546,24
6,break_X,0.1,physical_retention1,0.3092264711678379,0.2885831798456211,0.3304462912763793,24
6,break_X,0.3,physical_retention1,0.0965986766948207,0.0902795994928476,0.1033825112719733,24
6,break_X,1.0,physical_retention1,0.087695377398086,0.0840209314420441,0.0915576505277111,24
6,preserve_Z,0.0,physical_retention1,0.5482466446395957,0.5298437444953528,0.5666949705625158,24
6,preserve_Z,0.01,physical_retention1,0.550589678800177,0.5320136610440236,0.5693067400136906,24
6,preserve_Z,0.03,physical_retention1,0.5551338181693898,0.5374157494263171,0.573313019523458,24
6,preserve_Z,0.1,physical_retention1,0.5540410987909218,0.5380127363577506,0.5699013396078012,24
