family,n,bitflip_rate,shots,method,metric,mean,ci_low,ci_high,circuits
SU2-HaarU4-brickwork,8,0.0,10000,aligned_crossfit,finite_difference_snr_mean,0.10286587265139385,0.09900741364617864,0.10673570644508518,16
SU2-HaarU4-brickwork,8,0.0,10000,aligned_crossfit,linearized_shots_for_snr1,957226.2012330658,939988.2636400805,973408.1754331253,16
SU2-HaarU4-brickwork,8,0.0,10000,physical,actual_retention,0.02927754580294785,0.028570392212075787,0.030036587491488256,16
SU2-HaarU4-brickwork,8,0.0,10000,physical,rho,0.9332217724689645,0.9113278372208462,0.9568511719718634,16
SU2-HaarU4-brickwork,8,0.0,10000,physical,expected_scalar_directional_grad2,0.0017653363205629249,0.0017270205431599553,0.0018061817457730675,16
SU2-HaarU4-brickwork,8,0.0,10000,physical,estimated_parameter_gradient_norm2,2.033667441288542,1.9902351614530922,2.0823131509691586,16
SU2-HaarU4-brickwork,8,0.0,10000,physical,finite_difference_snr_mean,0.05931080210001594,0.05697356006799657,0.06171825581457193,16
SU2-HaarU4-brickwork,8,0.0,10000,physical,linearized_shots_for_snr1,2838193.783414044,2774741.069247097,2899990.0862816344,16
SU2-HaarU4-brickwork,8,0.0,10000,random_rank,actual_retention,0.03102285991431267,0.03020007361800254,0.031980888768578346,16
SU2-HaarU4-brickwork,8,0.0,10000,random_rank,rho,0.9888536597687176,0.9627723718751334,1.0189663464137169,16
SU2-HaarU4-brickwork,8,0.0,10000,random_rank,expected_scalar_directional_grad2,0.0018734914204691438,0.0018212414956365064,0.0019312824877645409,16
SU2-HaarU4-brickwork,8,0.0,10000,random_rank,estimated_parameter_gradient_norm2,2.1582621163805005,2.099447271982289,2.2264446938576046,16
SU2-HaarU4-brickwork,8,0.0,10000,random_rank,finite_difference_snr_mean,0.0605129161087688,0.05787596532471393,0.06326783645914842,16
SU2-HaarU4-brickwork,8,0.0,10000,random_rank,linearized_shots_for_snr1,2678124.8317437368,2599862.518172743,2749379.3694735426,16
SU2-HaarU4-brickwork,8,0.01,100,aligned_crossfit,actual_retention,0.08839749428249208,0.08678812747473684,0.09014586405509482,16
SU2-HaarU4-brickwork,8,0.01,100,aligned_crossfit,rho,2.8176701302544367,2.7673735424977037,2.8720886751696497,16
SU2-HaarU4-brickwork,8,0.01,100,aligned_crossfit,expected_scalar_directional_grad2,0.004108940238889337,0.0040282209760310545,0.0041956705893243,16
SU2-HaarU4-brickwork,8,0.01,100,aligned_crossfit,estimated_parameter_gradient_norm2,4.733499155200575,4.63890842611182,4.8326250849867955,16
SU2-HaarU4-brickwork,8,0.01,100,aligned_crossfit,finite_difference_snr_mean,0.009031808243897937,0.008684659582215072,0.009394307265208898,16
SU2-HaarU4-brickwork,8,0.01,100,aligned_crossfit,linearized_shots_for_snr1,1218907.4189365047,1193615.1786403095,1242527.5195217244,16
SU2-HaarU4-brickwork,8,0.01,100,physical,actual_retention,0.03681238183178358,0.035953636559361624,0.037696895740400464,16
SU2-HaarU4-brickwork,8,0.01,100,physical,rho,1.1733946708881031,1.1462252348783908,1.2015708977517283,16
SU2-HaarU4-brickwork,8,0.01,100,physical,expected_scalar_directional_grad2,0.0016934215932905314,0.001656924032625718,0.0017321746749633425,16
SU2-HaarU4-brickwork,8,0.01,100,physical,estimated_parameter_gradient_norm2,1.950821675470749,1.9084048629057981,1.9960311128721373,16
SU2-HaarU4-brickwork,8,0.01,100,physical,finite_difference_snr_mean,0.005810559168147737,0.005584088830258046,0.006049443876606495,16
SU2-HaarU4-brickwork,8,0.01,100,physical,linearized_shots_for_snr1,2958756.763043115,2891820.8658558778,3022141.5375078237,16
SU2-HaarU4-brickwork,8,0.01,100,random_rank,actual_retention,0.030764278408406637,0.0300093273036974,0.03167945000769396,16
SU2-HaarU4-brickwork,8,0.01,100,random_rank,rho,0.9806113742679632,0.9564378007630087,1.0091395778111112,16
SU2-HaarU4-brickwork,8,0.01,100,random_rank,expected_scalar_directional_grad2,0.0014146888895040376,0.0013806217262025127,0.0014525454161921285,16
SU2-HaarU4-brickwork,8,0.01,100,random_rank,estimated_parameter_gradient_norm2,1.6297216007087014,1.5914021563486511,1.6725903432899956,16
SU2-HaarU4-brickwork,8,0.01,100,random_rank,finite_difference_snr_mean,0.005264979126546906,0.0050359563234331555,0.00550285978574934,16
SU2-HaarU4-brickwork,8,0.01,100,random_rank,linearized_shots_for_snr1,3543291.7162437905,3454739.172359909,3624221.297083968,16
SU2-HaarU4-brickwork,8,0.01,1000,aligned_crossfit,actual_retention,0.08839749428249208,0.08678291425504248,0.09008260374221365,16
SU2-HaarU4-brickwork,8,0.01,1000,aligned_crossfit,rho,2.8176701302544367,2.765429949852364,2.87187795560972,16
SU2-HaarU4-brickwork,8,0.01,1000,aligned_crossfit,expected_scalar_directional_grad2,0.004108940238889337,0.004027956783033506,0.004194075822144652,16
SU2-HaarU4-brickwork,8,0.01,1000,aligned_crossfit,estimated_parameter_gradient_norm2,4.733499155200575,4.640429937413069,4.833732628660833,16
SU2-HaarU4-brickwork,8,0.01,1000,aligned_crossfit,finite_difference_snr_mean,0.02856108544060313,0.027472960484617875,0.029710227216443806,16
SU2-HaarU4-brickwork,8,0.01,1000,aligned_crossfit,linearized_shots_for_snr1,1218907.4189365047,1194138.587811798,1242921.8285640844,16
SU2-HaarU4-brickwork,8,0.01,1000,physical,actual_retention,0.03681238183178358,0.03595612677012118,0.037690751564819595,16
SU2-HaarU4-brickwork,8,0.01,1000,physical,rho,1.1733946708881031,1.145924619875182,1.2012894027559036,16
SU2-HaarU4-brickwork,8,0.01,1000,physical,expected_scalar_directional_grad2,0.0016934215932905314,0.0016564072018389559,0.0017327590286535753,16
SU2-HaarU4-brickwork,8,0.01,1000,physical,estimated_parameter_gradient_norm2,1.950821675470749,1.907598140912034,1.9973943417736082,16
SU2-HaarU4-brickwork,8,0.01,1000,physical,finite_difference_snr_mean,0.018374601450520278,0.017647615124960016,0.019130976548059994,16
SU2-HaarU4-brickwork,8,0.01,1000,physical,linearized_shots_for_snr1,2958756.763043115,2892554.212932906,3023339.6829714817,16
SU2-HaarU4-brickwork,8,0.01,1000,random_rank,actual_retention,0.030764278408406637,0.030008441105552404,0.03165522482298331,16
SU2-HaarU4-brickwork,8,0.01,1000,random_rank,rho,0.9806113742679632,0.9567636366930741,1.0092108558336763,16
SU2-HaarU4-brickwork,8,0.01,1000,random_rank,expected_scalar_directional_grad2,0.0014146888895040376,0.0013808016682788473,0.001453086975046577,16
SU2-HaarU4-brickwork,8,0.01,1000,random_rank,estimated_parameter_gradient_norm2,1.6297216007087014,1.591550464175299,1.6732398467665006,16
SU2-HaarU4-brickwork,8,0.01,1000,random_rank,finite_difference_snr_mean,0.016649325873132195,0.015940458240239774,0.017413783887985926,16
SU2-HaarU4-brickwork,8,0.01,1000,random_rank,linearized_shots_for_snr1,3543291.7162437905,3454593.4887122167,3626012.4472593744,16
SU2-HaarU4-brickwork,8,0.01,10000,aligned_crossfit,actual_retention,0.08839749428249208,0.0867778471499302,0.09008911964731321,16
SU2-HaarU4-brickwork,8,0.01,10000,aligned_crossfit,rho,2.8176701302544367,2.767308373764189,2.8727543635839714,16
SU2-HaarU4-brickwork,8,0.01,10000,aligned_crossfit,expected_scalar_directional_grad2,0.004108940238889337,0.00402911901329353,0.004192220072652022,16
SU2-HaarU4-brickwork,8,0.01,10000,aligned_crossfit,estimated_parameter_gradient_norm2,4.733499155200575,4.642282374128229,4.828530368734432,16
SU2-HaarU4-brickwork,8,0.01,10000,aligned_crossfit,finite_difference_snr_mean,0.09031808243897974,0.08676277355007184,0.09399365707721379,16
SU2-HaarU4-brickwork,8,0.01,10000,aligned_crossfit,linearized_shots_for_snr1,1218907.4189365047,1194341.8358525974,1243121.7078141668,16
SU2-HaarU4-brickwork,8,0.01,10000,physical,actual_retention,0.03681238183178358,0.03597146432482665,0.03768777259867687,16
SU2-HaarU4-brickwork,8,0.01,10000,physical,rho,1.1733946708881031,1.1457689856674171,1.201667346413401,16
SU2-HaarU4-brickwork,8,0.01,10000,physical,expected_scalar_directional_grad2,0.0016934215932905314,0.0016557128492358435,0.001733847136874187,16
SU2-HaarU4-brickwork,8,0.01,10000,physical,estimated_parameter_gradient_norm2,1.950821675470749,1.9082357402826697,1.997703165572299,16
SU2-HaarU4-brickwork,8,0.01,10000,physical,finite_difference_snr_mean,0.05810559168147788,0.05583247260927085,0.06044788531114478,16
SU2-HaarU4-brickwork,8,0.01,10000,physical,linearized_shots_for_snr1,2958756.763043115,2892279.92425886,3022975.369167525,16
SU2-HaarU4-brickwork,8,0.01,10000,random_rank,actual_retention,0.030764278408406637,0.03001898080009736,0.031658569180497205,16
SU2-HaarU4-brickwork,8,0.01,10000,random_rank,rho,0.9806113742679632,0.9572281982734193,1.0090516880277793,16
SU2-HaarU4-brickwork,8,0.01,10000,random_rank,expected_scalar_directional_grad2,0.0014146888895040376,0.0013810754623169907,0.0014527870989558625,16
SU2-HaarU4-brickwork,8,0.01,10000,random_rank,estimated_parameter_gradient_norm2,1.6297216007087014,1.5906957246182722,1.6725514603094849,16
SU2-HaarU4-brickwork,8,0.01,10000,random_rank,finite_difference_snr_mean,0.0526497912654694,0.05038836050882116,0.05508876345818847,16
SU2-HaarU4-brickwork,8,0.01,10000,random_rank,linearized_shots_for_snr1,3543291.7162437905,3455241.254634148,3625683.926360741,16
