family,n,bitflip_rate,shots,metric,contrast,ratio_of_means,ci_low,ci_high,paired_circuits
SU2-HaarU4-brickwork,8,0.03,100,finite_difference_snr_mean,aligned_over_physical,1.3757907358909895,1.3189627719983075,1.4362412804187337,16
SU2-HaarU4-brickwork,8,0.03,100,linearized_shots_for_snr1,physical_over_aligned,1.8992960301566888,1.8399662354206134,1.958863091597172,16
SU2-HaarU4-brickwork,8,0.03,100,actual_retention,random_over_physical,0.6200406141241707,0.6017051542133474,0.6400357144369143,16
SU2-HaarU4-brickwork,8,0.03,100,expected_scalar_directional_grad2,random_over_physical,0.6182354518212346,0.600103030765501,0.6382153448738349,16
SU2-HaarU4-brickwork,8,0.03,100,finite_difference_snr_mean,random_over_physical,0.7794006901157348,0.7285290003448072,0.8314506573370901,16
SU2-HaarU4-brickwork,8,0.03,1000,actual_retention,aligned_over_physical,1.8832866257394174,1.8235320511441964,1.9452663347670198,16
SU2-HaarU4-brickwork,8,0.03,1000,expected_scalar_directional_grad2,aligned_over_physical,1.898161897695739,1.837393930356281,1.9575431552529698,16
SU2-HaarU4-brickwork,8,0.03,1000,finite_difference_snr_mean,aligned_over_physical,1.3757907358909873,1.3174967837337865,1.4368596849086994,16
SU2-HaarU4-brickwork,8,0.03,1000,linearized_shots_for_snr1,physical_over_aligned,1.8992960301566888,1.8412949058541737,1.9589869254736045,16
SU2-HaarU4-brickwork,8,0.03,1000,actual_retention,random_over_physical,0.6200406141241707,0.6017897793480762,0.6396757184873619,16
SU2-HaarU4-brickwork,8,0.03,1000,expected_scalar_directional_grad2,random_over_physical,0.6182354518212346,0.6003488357542238,0.6379552727931117,16
SU2-HaarU4-brickwork,8,0.03,1000,finite_difference_snr_mean,random_over_physical,0.7794006901157355,0.7286810594358978,0.8314875879683359,16
SU2-HaarU4-brickwork,8,0.03,10000,actual_retention,aligned_over_physical,1.8832866257394174,1.8234685776970008,1.9427502626771727,16
SU2-HaarU4-brickwork,8,0.03,10000,expected_scalar_directional_grad2,aligned_over_physical,1.898161897695739,1.8385080044764792,1.9591516681255912,16
SU2-HaarU4-brickwork,8,0.03,10000,finite_difference_snr_mean,aligned_over_physical,1.375790735890988,1.3183009428450938,1.4369480120048692,16
SU2-HaarU4-brickwork,8,0.03,10000,linearized_shots_for_snr1,physical_over_aligned,1.8992960301566888,1.8406870033316947,1.9591013700967541,16
SU2-HaarU4-brickwork,8,0.03,10000,actual_retention,random_over_physical,0.6200406141241707,0.6015162551558271,0.6397945213476544,16
SU2-HaarU4-brickwork,8,0.03,10000,expected_scalar_directional_grad2,random_over_physical,0.6182354518212346,0.6008144199958508,0.6383353634094627,16
SU2-HaarU4-brickwork,8,0.03,10000,finite_difference_snr_mean,random_over_physical,0.7794006901157366,0.7277227618066862,0.8313578993323609,16
SU2-HaarU4-brickwork,8,0.05,100,actual_retention,aligned_over_physical,1.5799220396375444,1.5328909719046337,1.6271938571229076,16
SU2-HaarU4-brickwork,8,0.05,100,expected_scalar_directional_grad2,aligned_over_physical,1.5887408142267698,1.540111913325786,1.636882279757555,16
SU2-HaarU4-brickwork,8,0.05,100,finite_difference_snr_mean,aligned_over_physical,1.2550617586333357,1.2017653279479585,1.3125178326377973,16
SU2-HaarU4-brickwork,8,0.05,100,linearized_shots_for_snr1,physical_over_aligned,1.5895982358934502,1.5435481166770908,1.6373260381103594,16
SU2-HaarU4-brickwork,8,0.05,100,actual_retention,random_over_physical,0.4855474561009914,0.4713686229456012,0.5009361232496666,16
SU2-HaarU4-brickwork,8,0.05,100,expected_scalar_directional_grad2,random_over_physical,0.48285485258301336,0.468925403547856,0.4983245546073684,16
SU2-HaarU4-brickwork,8,0.05,100,finite_difference_snr_mean,random_over_physical,0.6889298027338953,0.6452002040739766,0.735709701438004,16
SU2-HaarU4-brickwork,8,0.05,1000,actual_retention,aligned_over_physical,1.5799220396375444,1.5331276056976666,1.627171552928497,16
SU2-HaarU4-brickwork,8,0.05,1000,expected_scalar_directional_grad2,aligned_over_physical,1.5887408142267698,1.540292294321756,1.6368825042964332,16
SU2-HaarU4-brickwork,8,0.05,1000,finite_difference_snr_mean,aligned_over_physical,1.2550617586333372,1.2004562489995605,1.3133643943700697,16
SU2-HaarU4-brickwork,8,0.05,1000,linearized_shots_for_snr1,physical_over_aligned,1.5895982358934502,1.5438730634495295,1.6367487703043602,16
SU2-HaarU4-brickwork,8,0.05,1000,actual_retention,random_over_physical,0.4855474561009914,0.4716231837774143,0.5009758401705677,16
SU2-HaarU4-brickwork,8,0.05,1000,expected_scalar_directional_grad2,random_over_physical,0.48285485258301336,0.4689797249468833,0.49854081821036983,16
SU2-HaarU4-brickwork,8,0.05,1000,finite_difference_snr_mean,random_over_physical,0.6889298027338991,0.6442451549307684,0.7350661789728546,16
SU2-HaarU4-brickwork,8,0.05,10000,actual_retention,aligned_over_physical,1.5799220396375444,1.53147024059183,1.6265956372842119,16
SU2-HaarU4-brickwork,8,0.05,10000,expected_scalar_directional_grad2,aligned_over_physical,1.5887408142267698,1.5406656942934478,1.6370743780380488,16
SU2-HaarU4-brickwork,8,0.05,10000,finite_difference_snr_mean,aligned_over_physical,1.2550617586333366,1.2017830481760337,1.3114672841193387,16
SU2-HaarU4-brickwork,8,0.05,10000,linearized_shots_for_snr1,physical_over_aligned,1.5895982358934502,1.5433470294625473,1.6367599466269516,16
SU2-HaarU4-brickwork,8,0.05,10000,actual_retention,random_over_physical,0.4855474561009914,0.47149386661097026,0.5006096077783111,16
SU2-HaarU4-brickwork,8,0.05,10000,expected_scalar_directional_grad2,random_over_physical,0.48285485258301336,0.4689190090120159,0.4983367480976165,16
SU2-HaarU4-brickwork,8,0.05,10000,finite_difference_snr_mean,random_over_physical,0.6889298027338988,0.6446217917125553,0.7351455540556038,16
SU2-HaarU4-brickwork,10,0.0,100,actual_retention,aligned_over_physical,4.611642748802209,4.455117014216474,4.777337859686951,16
SU2-HaarU4-brickwork,10,0.0,100,expected_scalar_directional_grad2,aligned_over_physical,4.638477943781137,4.485844912163822,4.80811768030363,16
SU2-HaarU4-brickwork,10,0.0,100,finite_difference_snr_mean,aligned_over_physical,2.124592111521738,2.014391133920446,2.236015066027615,16
SU2-HaarU4-brickwork,10,0.0,100,linearized_shots_for_snr1,physical_over_aligned,4.638326580744704,4.47679238360724,4.807492799456745,16
SU2-HaarU4-brickwork,10,0.0,100,actual_retention,random_over_physical,1.0557406517159913,1.034336813323277,1.0771608898680998,16
SU2-HaarU4-brickwork,10,0.0,100,expected_scalar_directional_grad2,random_over_physical,1.055433991086855,1.0342817877864199,1.0767633329824113,16
SU2-HaarU4-brickwork,10,0.0,100,finite_difference_snr_mean,random_over_physical,1.0354601086453459,0.9753071315215355,1.0981897077675677,16
SU2-HaarU4-brickwork,10,0.0,1000,actual_retention,aligned_over_physical,4.611642748802209,4.455008046726049,4.777312343038094,16
SU2-HaarU4-brickwork,10,0.0,1000,expected_scalar_directional_grad2,aligned_over_physical,4.638477943781137,4.4781545197996735,4.808335763705529,16
SU2-HaarU4-brickwork,10,0.0,1000,finite_difference_snr_mean,aligned_over_physical,2.124592111521738,2.015267368156943,2.2363629192634735,16
SU2-HaarU4-brickwork,10,0.0,1000,linearized_shots_for_snr1,physical_over_aligned,4.638326580744704,4.481229580104351,4.805346728202569,16
SU2-HaarU4-brickwork,10,0.0,1000,actual_retention,random_over_physical,1.0557406517159913,1.0349744231283144,1.0768309106080496,16
SU2-HaarU4-brickwork,10,0.0,1000,expected_scalar_directional_grad2,random_over_physical,1.055433991086855,1.0342435673820416,1.0766214876907483,16
SU2-HaarU4-brickwork,10,0.0,1000,finite_difference_snr_mean,random_over_physical,1.0354601086453459,0.976460669507132,1.1001630211045754,16
SU2-HaarU4-brickwork,10,0.0,10000,actual_retention,aligned_over_physical,4.611642748802209,4.456069386299652,4.776492571486164,16
SU2-HaarU4-brickwork,10,0.0,10000,expected_scalar_directional_grad2,aligned_over_physical,4.638477943781137,4.481682643957927,4.808707595890034,16
SU2-HaarU4-brickwork,10,0.0,10000,finite_difference_snr_mean,aligned_over_physical,2.124592111521738,2.013782575883226,2.23591374492227,16
SU2-HaarU4-brickwork,10,0.0,10000,linearized_shots_for_snr1,physical_over_aligned,4.638326580744704,4.479680145162994,4.803015163827236,16
SU2-HaarU4-brickwork,10,0.0,10000,actual_retention,random_over_physical,1.0557406517159913,1.0343673016367305,1.0764980459049487,16
SU2-HaarU4-brickwork,10,0.0,10000,expected_scalar_directional_grad2,random_over_physical,1.055433991086855,1.0346491102321893,1.0765043166628716,16
SU2-HaarU4-brickwork,10,0.0,10000,finite_difference_snr_mean,random_over_physical,1.0354601086453459,0.9772937255024521,1.0966014811412463,16
SU2-HaarU4-brickwork,10,0.01,100,actual_retention,aligned_over_physical,3.568092763648296,3.451267876472228,3.6947295280889687,16
SU2-HaarU4-brickwork,10,0.01,100,expected_scalar_directional_grad2,aligned_over_physical,3.586008726952233,3.4667916285099674,3.714677361906896,16
SU2-HaarU4-brickwork,10,0.01,100,finite_difference_snr_mean,aligned_over_physical,1.878439849852738,1.794246168513694,1.9688460685946438,16
SU2-HaarU4-brickwork,10,0.01,100,linearized_shots_for_snr1,physical_over_aligned,3.5864821228849446,3.4666156107122017,3.7138824759257774,16
SU2-HaarU4-brickwork,10,0.01,100,actual_retention,random_over_physical,0.7929004173718244,0.775621329510388,0.8099336884764833,16
SU2-HaarU4-brickwork,10,0.01,100,expected_scalar_directional_grad2,random_over_physical,0.7924684337737529,0.7754628950608891,0.8090121735011103,16
SU2-HaarU4-brickwork,10,0.01,100,finite_difference_snr_mean,random_over_physical,0.8937906285384127,0.8401369308783257,0.9498774917086297,16
SU2-HaarU4-brickwork,10,0.01,1000,actual_retention,aligned_over_physical,3.568092763648296,3.4484836855582044,3.692472274169967,16
SU2-HaarU4-brickwork,10,0.01,1000,expected_scalar_directional_grad2,aligned_over_physical,3.586008726952233,3.466320446607525,3.711593520063608,16
SU2-HaarU4-brickwork,10,0.01,1000,finite_difference_snr_mean,aligned_over_physical,1.8784398498527302,1.7912799889639341,1.9669374512060864,16
SU2-HaarU4-brickwork,10,0.01,1000,linearized_shots_for_snr1,physical_over_aligned,3.5864821228849446,3.467613745178935,3.7160566229359997,16
SU2-HaarU4-brickwork,10,0.01,1000,actual_retention,random_over_physical,0.7929004173718244,0.7754174228815637,0.8097910117457124,16
SU2-HaarU4-brickwork,10,0.01,1000,expected_scalar_directional_grad2,random_over_physical,0.7924684337737529,0.7748518889002264,0.8091599089121736,16
SU2-HaarU4-brickwork,10,0.01,1000,finite_difference_snr_mean,random_over_physical,0.8937906285384158,0.8398349726593498,0.9507381496104906,16
SU2-HaarU4-brickwork,10,0.01,10000,actual_retention,aligned_over_physical,3.568092763648296,3.4496636279835737,3.695059304517618,16
SU2-HaarU4-brickwork,10,0.01,10000,expected_scalar_directional_grad2,aligned_over_physical,3.586008726952233,3.468614356042852,3.7116337824634873,16
SU2-HaarU4-brickwork,10,0.01,10000,finite_difference_snr_mean,aligned_over_physical,1.8784398498527262,1.7923989355158596,1.9668221882983157,16
SU2-HaarU4-brickwork,10,0.01,10000,linearized_shots_for_snr1,physical_over_aligned,3.5864821228849446,3.4660998387034105,3.7152402824286703,16
SU2-HaarU4-brickwork,10,0.01,10000,actual_retention,random_over_physical,0.7929004173718244,0.7756264716719322,0.8094586517410436,16
SU2-HaarU4-brickwork,10,0.01,10000,expected_scalar_directional_grad2,random_over_physical,0.7924684337737529,0.7749490985980324,0.8096097874329242,16
SU2-HaarU4-brickwork,10,0.01,10000,finite_difference_snr_mean,random_over_physical,0.8937906285384166,0.8415889995429926,0.9518772216176926,16
SU2-HaarU4-brickwork,10,0.03,100,actual_retention,aligned_over_physical,2.5629823382779393,2.4820832738155016,2.6461636807663713,16
SU2-HaarU4-brickwork,10,0.03,100,expected_scalar_directional_grad2,aligned_over_physical,2.573027101056542,2.4914909012406987,2.6595414602020853,16
SU2-HaarU4-brickwork,10,0.03,100,finite_difference_snr_mean,aligned_over_physical,1.6019154999353147,1.536682739824233,1.6708804478825943,16
SU2-HaarU4-brickwork,10,0.03,100,linearized_shots_for_snr1,physical_over_aligned,2.5741583524810947,2.491957138886102,2.660105234111167,16
SU2-HaarU4-brickwork,10,0.03,100,actual_retention,random_over_physical,0.5456097823766795,0.5331666130309525,0.5577946678925177,16
SU2-HaarU4-brickwork,10,0.03,100,expected_scalar_directional_grad2,random_over_physical,0.5449279363908878,0.5326733323886462,0.5570997585252375,16
SU2-HaarU4-brickwork,10,0.03,100,finite_difference_snr_mean,random_over_physical,0.7381693118903039,0.6938027721049127,0.7857317777502465,16
SU2-HaarU4-brickwork,10,0.03,1000,actual_retention,aligned_over_physical,2.5629823382779393,2.4826822731465654,2.649241197738617,16
SU2-HaarU4-brickwork,10,0.03,1000,expected_scalar_directional_grad2,aligned_over_physical,2.573027101056542,2.491313941764964,2.659462038059185,16
SU2-HaarU4-brickwork,10,0.03,1000,finite_difference_snr_mean,aligned_over_physical,1.6019154999352998,1.536757492592261,1.6733960883591121,16
SU2-HaarU4-brickwork,10,0.03,1000,linearized_shots_for_snr1,physical_over_aligned,2.5741583524810947,2.4904475976276395,2.662543356590762,16
SU2-HaarU4-brickwork,10,0.03,1000,actual_retention,random_over_physical,0.5456097823766795,0.5333556413259604,0.5575618092388833,16
SU2-HaarU4-brickwork,10,0.03,1000,expected_scalar_directional_grad2,random_over_physical,0.5449279363908878,0.5324610658807298,0.5567805412307608,16
SU2-HaarU4-brickwork,10,0.03,1000,finite_difference_snr_mean,random_over_physical,0.7381693118903048,0.6939182348915687,0.7849378447066931,16
SU2-HaarU4-brickwork,10,0.03,10000,actual_retention,aligned_over_physical,2.5629823382779393,2.4808861256325088,2.64711700287204,16
SU2-HaarU4-brickwork,10,0.03,10000,expected_scalar_directional_grad2,aligned_over_physical,2.573027101056542,2.4906672104083083,2.6605940989530015,16
SU2-HaarU4-brickwork,10,0.03,10000,finite_difference_snr_mean,aligned_over_physical,1.6019154999352985,1.5374309457883806,1.6744387532595175,16
SU2-HaarU4-brickwork,10,0.03,10000,linearized_shots_for_snr1,physical_over_aligned,2.5741583524810947,2.492197911431535,2.6628820966171367,16
SU2-HaarU4-brickwork,10,0.03,10000,actual_retention,random_over_physical,0.5456097823766795,0.5331046811881229,0.5574092628847428,16
SU2-HaarU4-brickwork,10,0.03,10000,expected_scalar_directional_grad2,random_over_physical,0.5449279363908878,0.5326499795714247,0.5566530596879729,16
SU2-HaarU4-brickwork,10,0.03,10000,finite_difference_snr_mean,random_over_physical,0.7381693118903065,0.6931650156065163,0.7851036492864853,16
SU2-HaarU4-brickwork,10,0.05,100,actual_retention,aligned_over_physical,1.9641085621671854,1.90508555830391,2.0259619622718703,16
SU2-HaarU4-brickwork,10,0.05,100,expected_scalar_directional_grad2,aligned_over_physical,1.9697949428611954,1.9091844965431912,2.0335081281578637,16
SU2-HaarU4-brickwork,10,0.05,100,finite_difference_snr_mean,aligned_over_physical,1.4096415173004235,1.3522692188806142,1.4726401903710815,16
SU2-HaarU4-brickwork,10,0.05,100,linearized_shots_for_snr1,physical_over_aligned,1.97058059780351,1.909331030789624,2.0347749192352853,16
SU2-HaarU4-brickwork,10,0.05,100,actual_retention,random_over_physical,0.3973705834208503,0.38858192523862406,0.4058753650404853,16
SU2-HaarU4-brickwork,10,0.05,100,expected_scalar_directional_grad2,random_over_physical,0.39650334663284775,0.3875614626923716,0.4048811949218475,16
