family,n,shots,method,metric,bitflip_rate,noisy_over_clean,ci_low,ci_high,paired_circuits
SU2-HaarU4-brickwork,8,1000,physical,expected_scalar_directional_grad2,0.03,0.8807344027842313,0.8802589257060462,0.8812613070401759,16
SU2-HaarU4-brickwork,8,1000,physical,expected_scalar_directional_grad2,0.05,0.8060071750218982,0.8052991204833971,0.8067610608047293,16
SU2-HaarU4-brickwork,8,1000,physical,finite_difference_snr_mean,0.01,0.9796797484460616,0.9795010221080502,0.9798611529987534,16
SU2-HaarU4-brickwork,8,1000,physical,finite_difference_snr_mean,0.03,0.9391971132834172,0.9386912043359367,0.9397106821202107,16
SU2-HaarU4-brickwork,8,1000,physical,finite_difference_snr_mean,0.05,0.8988931150167653,0.8980876852082751,0.8997015160226814,16
SU2-HaarU4-brickwork,8,1000,random_rank,actual_retention,0.01,0.9916648076089616,0.9860848515547522,0.996928245232107,16
SU2-HaarU4-brickwork,8,1000,random_rank,actual_retention,0.03,0.9909839251329928,0.9805812734255959,1.00052181844264,16
SU2-HaarU4-brickwork,8,1000,random_rank,actual_retention,0.05,0.9923308723794179,0.978541759751901,1.0049306556463382,16
SU2-HaarU4-brickwork,8,1000,random_rank,expected_scalar_directional_grad2,0.01,0.7551082828816923,0.7474179793123755,0.7625758521352817,16
SU2-HaarU4-brickwork,8,1000,random_rank,expected_scalar_directional_grad2,0.03,0.5130676286797413,0.5049817331101242,0.5204258665204218,16
SU2-HaarU4-brickwork,8,1000,random_rank,expected_scalar_directional_grad2,0.05,0.3667171799154147,0.3600917303464818,0.3732703626494245,16
SU2-HaarU4-brickwork,8,1000,random_rank,finite_difference_snr_mean,0.01,0.8700587354083894,0.8612720296747604,0.8793850827394721,16
SU2-HaarU4-brickwork,8,1000,random_rank,finite_difference_snr_mean,0.03,0.7174691805758788,0.7059889442840918,0.7305290329109648,16
SU2-HaarU4-brickwork,8,1000,random_rank,finite_difference_snr_mean,0.05,0.606972118173777,0.594533214221051,0.6209856548266481,16
SU2-HaarU4-brickwork,8,10000,aligned_crossfit,actual_retention,0.01,1.031387263760304,1.0232538889575356,1.0407828518123108,16
SU2-HaarU4-brickwork,8,10000,aligned_crossfit,actual_retention,0.03,1.0894982463904137,1.0731103220759655,1.1066930779039148,16
SU2-HaarU4-brickwork,8,10000,aligned_crossfit,actual_retention,0.05,1.1687567134591061,1.1462116585867947,1.1940435349929028,16
SU2-HaarU4-brickwork,8,10000,aligned_crossfit,expected_scalar_directional_grad2,0.01,0.7856231285600991,0.7795346653848453,0.7920907488422922,16
SU2-HaarU4-brickwork,8,10000,aligned_crossfit,expected_scalar_directional_grad2,0.03,0.5642740841403369,0.5568398225387093,0.5722612589161374,16
SU2-HaarU4-brickwork,8,10000,aligned_crossfit,expected_scalar_directional_grad2,0.05,0.43221899850009765,0.4244545708514524,0.4406346089922116,16
SU2-HaarU4-brickwork,8,10000,aligned_crossfit,finite_difference_snr_mean,0.01,0.8780179481397313,0.864568488791979,0.8904597594557855,16
SU2-HaarU4-brickwork,8,10000,aligned_crossfit,finite_difference_snr_mean,0.03,0.7450263144859712,0.7267461571154706,0.7635981140915611,16
SU2-HaarU4-brickwork,8,10000,aligned_crossfit,finite_difference_snr_mean,0.05,0.6504825245250895,0.6330715536760534,0.6682291409736966,16
SU2-HaarU4-brickwork,8,10000,physical,actual_retention,0.01,1.257358867425188,1.2498311977945302,1.2648731964197557,16
