profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,contrast,difference,ci95_low,ci95_high,ci_excludes_zero,direction_if_excludes_zero
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,1,deff_pairwise,U1 minus equal-weight generic-family mean,-56.399806484601115,-57.9294739183853,-54.84135201219941,True,negative
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.06107965893324178,0.057913825230505464,0.06470765976296412,True,positive
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.039221061076060215,-0.04852338077159316,-0.0298012119895345,True,negative
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.3561354832951959,0.33075069246520444,0.3829957548171164,True,positive
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,2,enhancement,U1 minus equal-weight generic-family mean,0.760015239675609,0.6717332127532143,0.8392435256181618,True,positive
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,2,actual_retention,U1 minus equal-weight generic-family mean,0.6006698137924036,0.5801173471444243,0.6211780252521781,True,positive
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,2,deff_pairwise,U1 minus equal-weight generic-family mean,-56.399806484601115,-57.95945940525031,-54.80985140539257,True,negative
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.06107965893324178,0.057864072433853365,0.06457701228854845,True,positive
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.039221061076060215,-0.04852607944416009,-0.029861929268981707,True,negative
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.35054193655455185,0.33025432530109883,0.3711528372286993,True,positive
