n,walsh_order,N_hf,r_top,r_low,observed_mean,observed_ci_low,observed_ci_high,sector_null_mean,sector_null_sd,observed_over_null,ci_low_over_null,null_plus_5sd
8,1,69,7,7,0.5515593856751837,0.5284650525217173,0.5741272575420492,0.10144927536231885,0.018288326472038024,5.436799658798239,5.20915551771407,0.19289090772250897
10,1,251,9,9,0.4502882129900035,0.4316828427021433,0.4701488368639976,0.035856573705179286,0.00542158632756809,12.558037940054541,12.039154835359774,0.06296450534301973
12,1,923,11,11,0.3960985147778754,0.3817259509569689,0.409820121602538,0.011917659804983749,0.0015131145527990104,33.236266285452636,32.03027752120748,0.0194832325689788
14,1,3431,13,13,0.340603347335211,0.3315085325926299,0.3497338231350114,0.003788982803847275,0.0004105654279778846,89.89308343900838,87.49275194810102,0.005841809943736698
16,1,12869,15,15,0.308828343521164,0.2995640846267048,0.3181444268089851,0.001165591732069314,0.00010976068816443928,264.95413018492394,257.0060136707376,0.0017143951728915102
18,1,48619,17,17,0.283586323330869,0.277044237620891,0.2908647902621044,0.000349657541290442,2.9077203027773412e-05,811.040203177854,792.3302228758881,0.000495043556429309
8,2,69,7,27,0.8216215779048431,0.8063292354266051,0.8360719410644808,0.391304347826087,0.02956212359617186,2.0996995879790434,2.060619157201324,0.5391149658069463
10,2,251,9,44,0.6997414962310577,0.6866205419393249,0.7133036832236319,0.1752988047808765,0.011086869884255673,3.9917071716817154,3.916858091517512,0.23073315420215487
12,2,923,11,65,0.6283101542243076,0.6177326458864104,0.6390286121637413,0.07042253521126761,0.0035676181831924185,8.922004189985167,8.771803571587027,0.08826062612722971
14,2,3431,13,90,0.5559497618017899,0.5490705085863046,0.5631338300655753,0.026231419411250366,0.0010680317505177724,21.194040363799346,20.931787943995676,0.03157157816383923
16,2,12869,15,119,0.5045748973477011,0.4977813165477398,0.5111999691936149,0.009247027741083224,0.00030790065800749393,54.56617104174425,53.83149380380557,0.010786531031120693
18,2,48619,17,152,0.4635381692641261,0.4574249372809129,0.4695908748086178,0.0031263497809498344,8.6825233702628e-05,148.26817270692464,146.31278306355725,0.0035604759494629744
