walsh_order,window,n_min,n_max,n_points,power_prefactor,power_alpha,power_alpha_ci_low,power_alpha_ci_high,power_log_rss,power_aicc,power_loocv_log_mse,exp_prefactor,exp_rate_b,exp_rate_b_ci_low,exp_rate_b_ci_high,exp_log_rss,exp_aicc,exp_loocv_log_mse,delta_aicc_exp_minus_power,delta_aicc_ci_low,delta_aicc_ci_high,bootstrap_fraction_power_lower_aicc
1,n8_to_n18,8,18,6,3.0256992098487476,0.8223418853513301,0.7694110154475926,0.8735150706765444,0.000587952515803146,-47.383743027948555,0.00023602159897374581,0.8904576131390383,0.0658345119549167,0.06171543692476525,0.06989868237986917,0.006472358361140509,-32.99184519389508,0.0035754957690150315,14.391897834053474,3.02864136227051,18.449480279598106,0.9956
1,tail_n12_to_n18,12,18,4,2.999772845645624,0.8188138983085017,0.7146560244830705,0.9178107996830519,0.00038948080995977345,-20.947961293532195,0.0006216865209079769,0.7525369112448347,0.05501860780743294,0.04807375220980819,0.06158536063421201,0.0011597077865917976,-16.583526299313803,0.0018327208470557492,4.364434994218392,-2.3602634885730005,9.329088931773855,0.957
2,n8_to_n18,8,18,6,3.561824993612129,0.7040606927811188,0.6797608165976756,0.7280810185993832,0.00027900511244312233,-51.8562395282197,8.253255625626265e-05,1.2544636750514342,0.056647085734452686,0.05470845629132973,0.05854982593863574,0.002362690820525466,-39.03828160296046,0.0013343570910906283,12.817957925259243,1.617456363863818,22.343453997008424,0.9882
2,tail_n12_to_n18,12,18,4,4.027410795761057,0.7487953606172596,0.6974159399839646,0.7974265882105697,3.122598582311543e-05,-31.0422171678957,5.031991383956353e-05,1.1398217031234212,0.05046986066844467,0.04705008604241691,0.05371460458648404,0.00036088750160807024,-21.25295455685005,0.0005853214378548865,9.78926261104565,-2.3649347109498127,16.536710517136115,0.956
