family,n,k,analysis_status,metric,mean,ci95_low,ci95_high,circuits
RY-RZ-CZ-line,6,1,exploratory_post_hoc,enhancement,0.9336939175186365,0.9011712262873185,0.9640600719722283,16
RY-RZ-CZ-line,6,1,exploratory_post_hoc,actual_retention,0.08892323023987009,0.08581649866619875,0.09194006567000779,16
RY-RZ-CZ-line,6,1,exploratory_post_hoc,deff_from_pairwise_purity,41.42710294094681,40.40657982857731,42.46403337834603,16
RY-RZ-CZ-line,6,1,exploratory_post_hoc,r_times_deff,248.56261764568086,242.6187342238806,254.80580215900875,16
RY-RZ-CZ-line,6,1,exploratory_post_hoc,haar_population_sd_rho,0.04959870280103517,0.04778430150351807,0.05140854427788186,16
RY-RZ-CZ-line,6,1,exploratory_post_hoc,population_orientation_z,-1.314335538444858,-1.9496891738065685,-0.7113125949886954,16
RY-RZ-CZ-line,6,1,exploratory_post_hoc,orientation_growth_ratio,0.09519536523853876,0.06376253340924562,0.13026195705570043,16
RY-RZ-CZ-line,6,2,exploratory_post_hoc,enhancement,0.9781070460097794,0.9642166086720776,0.9914265523572161,16
RY-RZ-CZ-line,6,2,exploratory_post_hoc,actual_retention,0.3260356820032597,0.32163339495961274,0.3303829656081563,16
RY-RZ-CZ-line,6,2,exploratory_post_hoc,deff_from_pairwise_purity,41.42710294094681,40.407343755224986,42.46602262837501,16
RY-RZ-CZ-line,6,2,exploratory_post_hoc,r_times_deff,869.969161759883,848.6918648997673,891.7358865520046,16
RY-RZ-CZ-line,6,2,exploratory_post_hoc,haar_population_sd_rho,0.022757445604254745,0.021925382551794072,0.023572253133570562,16
RY-RZ-CZ-line,6,2,exploratory_post_hoc,population_orientation_z,-0.9587650920031832,-1.5861678420572016,-0.3679838746841006,16
RY-RZ-CZ-line,6,2,exploratory_post_hoc,orientation_growth_ratio,0.04090779781700389,0.02471393301088907,0.05823448415228245,16
RY-RZ-CZ-line,8,1,exploratory_post_hoc,enhancement,0.9000647958693823,0.8729594439433231,0.9272781711611364,16
RY-RZ-CZ-line,8,1,exploratory_post_hoc,actual_retention,0.028237326929235473,0.02737773421249355,0.02908730913881098,16
RY-RZ-CZ-line,8,1,exploratory_post_hoc,deff_from_pairwise_purity,109.50517287870002,107.32863052056226,111.74321076554128,16
RY-RZ-CZ-line,8,1,exploratory_post_hoc,r_times_deff,876.0413830296002,857.8122464767472,894.0750860302539,16
RY-RZ-CZ-line,8,1,exploratory_post_hoc,haar_population_sd_rho,0.03548265084455863,0.03485029974813795,0.03612077699543015,16
RY-RZ-CZ-line,8,1,exploratory_post_hoc,population_orientation_z,-2.8506914279044766,-3.6576778770103395,-2.02346518944387,16
RY-RZ-CZ-line,8,1,exploratory_post_hoc,orientation_growth_ratio,0.0979417015407521,0.07371485477565966,0.12359733105383126,16
RY-RZ-CZ-line,8,2,exploratory_post_hoc,enhancement,0.9511498209677525,0.939297972460889,0.9637850647594697,16
RY-RZ-CZ-line,8,2,exploratory_post_hoc,actual_retention,0.13427997472485914,0.13256633902380666,0.13611877725622687,16
RY-RZ-CZ-line,8,2,exploratory_post_hoc,deff_from_pairwise_purity,109.50517287870002,107.27134379612795,111.73506548106535,16
RY-RZ-CZ-line,8,2,exploratory_post_hoc,r_times_deff,3942.186223633201,3863.737661803235,4022.203128205046,16
RY-RZ-CZ-line,8,2,exploratory_post_hoc,haar_population_sd_rho,0.015750102396672523,0.015468468856403567,0.016032241162373336,16
RY-RZ-CZ-line,8,2,exploratory_post_hoc,population_orientation_z,-3.1300991431736294,-3.929782522017079,-2.300541829511957,16
RY-RZ-CZ-line,8,2,exploratory_post_hoc,orientation_growth_ratio,0.04962548565384489,0.03638649791678493,0.06181985963128416,16
RY-RZ-CZ-line,10,1,exploratory_post_hoc,enhancement,0.8911600216006037,0.8603038809027699,0.9190213293355962,16
RY-RZ-CZ-line,10,1,exploratory_post_hoc,actual_retention,0.008711241657874864,0.008414962610693104,0.008981051532175979,16
RY-RZ-CZ-line,10,1,exploratory_post_hoc,deff_from_pairwise_purity,234.9611207024973,228.61707874014186,240.7197177009926,16
RY-RZ-CZ-line,10,1,exploratory_post_hoc,r_times_deff,2349.6112070249733,2284.91544886241,2407.1447058883273,16
RY-RZ-CZ-line,10,1,exploratory_post_hoc,haar_population_sd_rho,0.025501090725169134,0.025088183893073927,0.02596470761668629,16
RY-RZ-CZ-line,10,1,exploratory_post_hoc,population_orientation_z,-4.308759053623691,-5.581404173897406,-3.1845520973604478,16
RY-RZ-CZ-line,10,1,exploratory_post_hoc,orientation_growth_ratio,0.0883391681494991,0.06578288802454034,0.11270130275647536,16
RY-RZ-CZ-line,10,2,exploratory_post_hoc,enhancement,0.933175572673012,0.9232114787244597,0.9447537157347077,16
RY-RZ-CZ-line,10,2,exploratory_post_hoc,actual_retention,0.05017072971360276,0.049627719373947825,0.05079026128081504,16
RY-RZ-CZ-line,10,2,exploratory_post_hoc,deff_from_pairwise_purity,234.9611207024973,228.73402021681645,240.66660771531005,16
RY-RZ-CZ-line,10,2,exploratory_post_hoc,r_times_deff,12922.861638637352,12567.62650680928,13242.613209979183,16
RY-RZ-CZ-line,10,2,exploratory_post_hoc,haar_population_sd_rho,0.010629439578069591,0.01045906373271151,0.010823772759194135,16
RY-RZ-CZ-line,10,2,exploratory_post_hoc,population_orientation_z,-6.328753894008094,-7.35145219983633,-5.199464020465872,16
RY-RZ-CZ-line,10,2,exploratory_post_hoc,orientation_growth_ratio,0.05544716125645525,0.04602781936363145,0.06411669128260879,16
RY-RZ-CZ-line,12,1,exploratory_post_hoc,enhancement,0.8855683766631794,0.8703178263790781,0.9016009955441255,16
RY-RZ-CZ-line,12,1,exploratory_post_hoc,actual_retention,0.0025950721660459,0.002549723059791737,0.002641564178665016,16
RY-RZ-CZ-line,12,1,exploratory_post_hoc,deff_from_pairwise_purity,419.60930327525705,409.48777038989147,429.57428189300157,16
RY-RZ-CZ-line,12,1,exploratory_post_hoc,r_times_deff,5035.311639303085,4919.9580552732405,5153.5589071156555,16
RY-RZ-CZ-line,12,1,exploratory_post_hoc,haar_population_sd_rho,0.01886871541087448,0.01862066442651934,0.019123698392796474,16
RY-RZ-CZ-line,12,1,exploratory_post_hoc,population_orientation_z,-6.067846896986304,-6.892978435621456,-5.225026114306992,16
