profile,circuit_id,family,n,depth,instance,score_dimension,one_body_rank,walsh_order,cumulative_rank,incremental_rank,aligned_eval_retention,cumulative_tangent_retention,incremental_tangent_retention,cumulative_aligned_subspace_overlap,incremental_aligned_subspace_overlap,worst_aligned_principal_cos2
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i10,U1-RZ-XY-line,14,84,10,3431,13,2,90,77,0.3158678788087708,0.5022458392690514,0.2124277395428768,0.547182216388669,0.1903866441639178,0.1845668198994388
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i11,U1-RZ-XY-line,14,84,11,3431,13,1,13,13,0.3125553852172197,0.263352446950426,0.263352446950426,0.3510058341327029,0.3510058341327029,0.0041769791994298
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i11,U1-RZ-XY-line,14,84,11,3431,13,2,90,77,0.3125553852172197,0.4832498344303271,0.219897387479901,0.5662224994428077,0.2152166653101047,0.2552016672078674
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i12,U1-RZ-XY-line,14,84,12,3431,13,1,13,13,0.31523891417521,0.2455901070827757,0.2455901070827757,0.3209565013489119,0.3209565013489119,0.0053895233171109
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i12,U1-RZ-XY-line,14,84,12,3431,13,2,90,77,0.31523891417521,0.4901403482629551,0.2445502411801793,0.5477118003208249,0.226755298971913,0.2866413130812317
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i13,U1-RZ-XY-line,14,84,13,3431,13,1,13,13,0.3056974487681306,0.2575773997079857,0.2575773997079857,0.3288641529901959,0.3288641529901959,0.0034319766155616
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i13,U1-RZ-XY-line,14,84,13,3431,13,2,90,77,0.3056974487681306,0.4760901391077827,0.2185127393997969,0.5414978758691107,0.2126337228789148,0.2218035731302258
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i14,U1-RZ-XY-line,14,84,14,3431,13,1,13,13,0.3092405573063291,0.261886318178242,0.261886318178242,0.318307711736628,0.318307711736628,6.106506891204515e-07
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i14,U1-RZ-XY-line,14,84,14,3431,13,2,90,77,0.3092405573063291,0.4770028494897238,0.2151165313114817,0.5312691170282982,0.2129614052916701,0.2400246008684957
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i15,U1-RZ-XY-line,14,84,15,3431,13,1,13,13,0.3131677066127319,0.2841722699599586,0.2841722699599586,0.3680589136751949,0.3680589136751949,9.22876478268491e-05
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i15,U1-RZ-XY-line,14,84,15,3431,13,2,90,77,0.3131677066127319,0.4994033231891075,0.2152310532291489,0.5702295179518091,0.2021706042766141,0.2553064740322371
u1-alignment-scaling-v1,U1-RZ-XY-line|n14|d84|i16,U1-RZ-XY-line,14,84,16,3431,13,1,13,13,0.3188300507115967,0.2561266843682266,0.2561266843682266,0.3552857841742712,0.3552857841742712,0.0024991645055609
