profile,family,n,depth_factor,tangent_count_used,k,factor,reference,comparison,metric,paired_circuits,mean_paired_difference,ci95_low,ci95_high,fraction_positive_differences
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,10,0.00028148017774810575,-0.002754222761067225,0.003010387277128919,0.7
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,10,-0.00086189118336277,-0.0014190457049826535,-0.00038080383234765004,0.2
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,enhancement,10,-0.00024677843420966016,-0.020771330515494044,0.018137582595697786,0.6
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,actual_retention,10,-3.483930835900817e-05,-0.0029969725280428352,0.0025364731357213795,0.6
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,10,-0.4172204504278369,-2.1023704220403285,1.2951363621729286,0.3
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,10,2.2414538622580073e-05,-7.312218084295049e-05,0.00011767113448093013,0.7
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,10,0.00028148017774810575,-0.002759665513758755,0.0029613805030642894,0.7
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,10,-3.4839308359009994e-05,-0.00287864588571939,0.0025910380612770155,0.6
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,enhancement,10,-0.00983728350072215,-0.03238870259018256,0.011946803984337317,0.4
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,actual_retention,10,-2.8827204397700087e-05,-9.570968882288682e-05,3.605458002315992e-05,0.4
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,10,0.7801412558030278,-1.611813769762323,3.1999533344942175,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,10,-1.9129499794599695e-06,-8.280006391848734e-06,4.389127513708469e-06,0.5
