profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,mean_enhancement,ci95_low,ci95_high,equivalence_margin,equivalence_low,equivalence_high,ci_entirely_inside_equivalence_band,families,circuits
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,0.956247797069721,0.9347121594127025,0.9781350442862584,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,1,SU2-CNOT-line,0.9786978003174565,0.9523350457545106,1.0050194980238363,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,1,SU2-HaarU4-brickwork,0.9337977938219855,0.8990754273895109,0.9700069547390973,0.1,0.9,1.1,False,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,2,generic_family_balanced,0.9666779466054323,0.9584191200129678,0.9750083184563431,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,2,SU2-CNOT-line,0.981657752078338,0.9690288694784615,0.9928685574519125,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,2,SU2-HaarU4-brickwork,0.9516981411325266,0.9423128023315146,0.9646582434605682,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,0.9695590637612811,0.9541738328159765,0.9869983293329267,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,128,1,SU2-CNOT-line,0.9912226528037691,0.967849819007744,1.0188157325753835,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,128,1,SU2-HaarU4-brickwork,0.9478954747187931,0.9301706372314592,0.9710363845758919,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,0.9695131173431607,0.9640303021595009,0.9750443501601321,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,128,2,SU2-CNOT-line,0.9857769854027405,0.9778504603364361,0.994065391335923,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,128,2,SU2-HaarU4-brickwork,0.9532492492835809,0.9459417221212566,0.9604849852347206,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,256,1,generic_family_balanced,0.9533794047245157,0.9420376855492706,0.9658829173443944,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,256,1,SU2-CNOT-line,0.9751229800056493,0.9588751451491943,0.993718461198632,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,256,1,SU2-HaarU4-brickwork,0.931635829443382,0.917311633595865,0.9479731735078071,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,256,2,generic_family_balanced,0.9686984005857427,0.9639629707402918,0.9739808771003909,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,256,2,SU2-CNOT-line,0.9802688456186031,0.9721665980837619,0.9898372833435756,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,256,2,SU2-HaarU4-brickwork,0.9571279555528824,0.9524724571370012,0.9619592107319471,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,0.9476536871834841,0.9252208451485441,0.9707260467355505,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,32,1,SU2-CNOT-line,0.9631390207752819,0.9252167104524371,0.9988132739784759,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,32,1,SU2-HaarU4-brickwork,0.9321683535916863,0.9058780790630074,0.9584847382106038,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,0.9611651352330076,0.9541896607962145,0.967990692264455,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,32,2,SU2-CNOT-line,0.9762008240383184,0.9646673719241636,0.987449483193226,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,32,2,SU2-HaarU4-brickwork,0.9461294464276968,0.9386493119746218,0.9535685680268121,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,0.9589737163619036,0.9424903458570759,0.9749427819111931,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,64,1,SU2-CNOT-line,0.9803239574402831,0.95315837161219,1.0080436813704523,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,64,1,SU2-HaarU4-brickwork,0.9376234752835241,0.9190826553351908,0.9548586667292769,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,64,2,generic_family_balanced,0.9610441314423066,0.9562869725509381,0.9660611045841769,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,64,2,SU2-CNOT-line,0.9750257838993174,0.9675659745780099,0.9832891239177441,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,64,2,SU2-HaarU4-brickwork,0.9470624789852959,0.9411340865592659,0.9527830806786229,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,0.9499574742244252,0.9381076585764639,0.9612924451728991,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,128,1,SU2-CNOT-line,0.9743914907094267,0.9573898199076452,0.990695650603697,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,128,1,SU2-HaarU4-brickwork,0.9255234577394239,0.9086470842235844,0.9408378488930934,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,0.9622940467592915,0.9574868805488744,0.9667476860244812,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,128,2,SU2-CNOT-line,0.9786888928632524,0.9715854426126393,0.9848230753056698,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,128,2,SU2-HaarU4-brickwork,0.9458992006553306,0.9389571698441097,0.9520198399643569,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,256,1,generic_family_balanced,0.9419699492487595,0.9325256428447647,0.9515635647700307,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,256,1,SU2-CNOT-line,0.9635742550955003,0.9479281324369226,0.977405009746275,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,256,1,SU2-HaarU4-brickwork,0.9203656434020188,0.9094838587159568,0.9332033218132423,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,256,2,generic_family_balanced,0.9606040194732817,0.9580487796963821,0.9632373894250782,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,256,2,SU2-CNOT-line,0.9754254186958387,0.9730974365263952,0.9777963036475414,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,16,6.0,gaussian,Z,0.0,256,2,SU2-HaarU4-brickwork,0.9457826202507246,0.941308452936369,0.950520436078603,0.1,0.9,1.1,True,1,8
