profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,mean_physical_minus_rank_baseline,ci95_low,ci95_high,circuits,fraction_positive,median_haar_z
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,128,2,-0.0038652941766537,-0.00657262012552483,-0.0009081184579104875,8,0.375,-1.6836731243837504
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,256,1,-0.0019079668432222124,-0.0032326626031387376,-0.0006851046580226916,8,0.25,-0.9766181496700441
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,256,2,-0.00314579290525995,-0.005442465069819434,-0.0008682233621953455,8,0.125,-1.134617177794523
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,32,1,-0.00015036024932317372,-0.00028589218292366113,-3.6468556025143344e-05,8,0.25,-0.567444524168209
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,32,2,-0.0007290037494249874,-0.0010113080496597625,-0.0004455208670661344,8,0.0,-1.385129042483484
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,64,1,-0.00019399913898314965,-0.00029628777761550856,-8.737826313870901e-05,8,0.125,-1.5109482511761478
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,64,2,-0.0009200354069994374,-0.0011008205355958875,-0.0006786220804963375,8,0.0,-2.474729223765366
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,128,1,-0.0001526872535712669,-0.00020428581606320403,-8.428675459897896e-05,8,0.125,-1.4536993815899213
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,128,2,-0.0008904904898365124,-0.001028086014245011,-0.000752430007928192,8,0.0,-3.0643356016123464
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,256,1,-0.0002003345657336269,-0.0002419033511636625,-0.00014937573780069317,8,0.0,-2.546509210500947
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,256,2,-0.0008166103704212375,-0.000908647290235725,-0.0007233216577847751,8,0.0,-3.7262932835106795
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,16,6.0,gaussian,Z,0.0,32,1,-1.6560713245334844e-05,-2.2977184086984436e-05,-9.952707068370522e-06,8,0.125,-1.0391924615705161
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,16,6.0,gaussian,Z,0.0,32,2,-0.00011179362609032182,-0.000127173910948675,-9.642837193496679e-05,8,0.0,-2.3643614457613227
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,16,6.0,gaussian,Z,0.0,64,1,-1.5228876103816519e-05,-1.9677391794015594e-05,-1.091816282066521e-05,8,0.0,-1.3093310678914833
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,16,6.0,gaussian,Z,0.0,64,2,-0.00010985737175551017,-0.00012236190311366139,-9.804828701095201e-05,8,0.0,-3.300597846482397
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,16,6.0,gaussian,Z,0.0,128,1,-1.818302702630986e-05,-2.2322857556223892e-05,-1.4520578599075864e-05,8,0.0,-1.998605725661697
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,16,6.0,gaussian,Z,0.0,128,2,-0.00011227143832871829,-0.00012670329249523415,-9.947604124176415e-05,8,0.0,-4.6401407567857005
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,16,6.0,gaussian,Z,0.0,256,1,-1.9442278256926826e-05,-2.2079658873257107e-05,-1.61565188578737e-05,8,0.0,-3.423411207510764
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork,16,6.0,gaussian,Z,0.0,256,2,-0.0001125133691294607,-0.00012164532685893943,-0.00010265756522171121,8,0.0,-6.5699316201847004
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,32,1,0.3283086169328473,0.30826041942016796,0.3494792749847562,10,1.0,23.141800364225
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,32,2,0.3569774784606138,0.3396693262186859,0.37496695299251004,10,1.0,15.892136104017254
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,64,1,0.32642075750356364,0.3123775912130358,0.3416619599717181,10,1.0,26.376294192020023
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,64,2,0.3534480064343214,0.33742926622832764,0.36959708379166806,10,1.0,17.95948123815836
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,128,1,0.3240064693471281,0.3128166345247942,0.3367603492891465,10,1.0,27.646046537379554
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,128,2,0.3526458720045068,0.3377479933156627,0.3676277171767031,10,1.0,19.07447227981703
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,256,1,0.32458204448439915,0.31167852306900673,0.3371975023665274,10,1.0,29.02523134398538
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,256,2,0.3521768349656011,0.3394919790713816,0.36502724675609266,10,1.0,19.831021028366603
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,12,6.0,gaussian,Z,0.0,32,1,0.2953292989998437,0.28100554935279226,0.3081055689345183,10,1.0,254.5961379176162
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,12,6.0,gaussian,Z,0.0,32,2,0.4897566363806602,0.47849586496996493,0.5028219757072823,10,1.0,174.57965829292013
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line,12,6.0,gaussian,Z,0.0,64,1,0.29513735411634423,0.28058636691440025,0.30837384780409804,10,1.0,295.83445066202887
