profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,isotropic_reference
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,256,2,generic_family_balanced,deff_over_N,0.5961955138677804,0.5930022810485142,0.598952238453833,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,256,2,U1,N_times_pairwise_purity,3.983549239381369,3.8817206976203127,4.091362192720383,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,256,2,U1,deff_over_N,0.2514816878370771,0.24482804318263787,0.2580752460299135,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,N_times_pairwise_purity,5.524394398593142,5.373771149226691,5.673624040136101,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,deff_over_N,0.19244395599832426,0.18651772910565068,0.1987637201410942,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,1,U1,N_times_pairwise_purity,24.2927879341269,23.141706287621417,25.451931528258537,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,1,U1,deff_over_N,0.04140840982966355,0.03945387999395379,0.043363028526120194,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,N_times_pairwise_purity,5.524394398593142,5.371447303731794,5.673140996068627,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,deff_over_N,0.19244395599832426,0.18670902489023292,0.19881246521676554,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,2,U1,N_times_pairwise_purity,24.2927879341269,23.16413193385838,25.472395064499985,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,2,U1,deff_over_N,0.04140840982966355,0.03945950047355558,0.04332574450328334,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,N_times_pairwise_purity,5.397307921674908,5.328882765457407,5.466433756147965,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,deff_over_N,0.19558456760820578,0.19286086165145652,0.1984866233667421,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,1,U1,N_times_pairwise_purity,23.77441274824454,23.134596239586163,24.498902762105462,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,1,U1,deff_over_N,0.04215286301518121,0.04088412713684482,0.0432860891138535,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,2,generic_family_balanced,N_times_pairwise_purity,5.397307921674908,5.3292827843970665,5.468052675501068,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,2,generic_family_balanced,deff_over_N,0.19558456760820578,0.19275482765487567,0.1983847189499412,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,2,U1,N_times_pairwise_purity,23.77441274824454,23.12149836573066,24.50606022930398,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,64,2,U1,deff_over_N,0.04215286301518121,0.04089802246062921,0.04327251453636449,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,N_times_pairwise_purity,5.404382694956751,5.354023193304447,5.450744122285345,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,deff_over_N,0.1954194885293165,0.19383097428453505,0.19715061714208973,1.0
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,128,1,U1,N_times_pairwise_purity,23.453846958847233,22.808294174298037,24.185427587155782,1.0
