profile,family,n,depth_factor,tangent_count_used,reference_tangent_count,metric,circuits,median_abs,q95_abs,max_abs
v2_convergence,SU2-CNOT-line,16,6.0,128,256,Ffull_over_FQ_mean,16,0.00024105370308750437,0.000432791276703096,0.000432791276703096
v2_convergence,SU2-CNOT-line,16,6.0,128,256,actual_retention,16,0.007092413857314043,0.03681936865291587,0.05763020515291739
v2_convergence,SU2-CNOT-line,16,6.0,128,256,deff_pairwise,16,0.00827335032112296,0.018561585527709368,0.018561585527709368
v2_convergence,SU2-CNOT-line,16,6.0,128,256,enhancement,16,0.007092413857303288,0.03681936865289956,0.05763020515271667
v2_convergence,SU2-CNOT-line,16,6.0,128,256,pairwise_purity,16,0.008205463382649094,0.01891263400131786,0.01891263400131786
v2_convergence,SU2-CNOT-line,16,6.0,256,256,Ffull_over_FQ_mean,16,0.0,0.0,0.0
v2_convergence,SU2-CNOT-line,16,6.0,256,256,actual_retention,16,0.0,0.0,0.0
v2_convergence,SU2-CNOT-line,16,6.0,256,256,deff_pairwise,16,0.0,0.0,0.0
v2_convergence,SU2-CNOT-line,16,6.0,256,256,enhancement,16,0.0,0.0,0.0
v2_convergence,SU2-CNOT-line,16,6.0,256,256,pairwise_purity,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,8,6.0,32,256,Ffull_over_FQ_mean,16,0.007573215577176398,0.024130431400328202,0.024130431400328202
v2_convergence,SU2-HaarU4-brickwork,8,6.0,32,256,actual_retention,16,0.023625501485846676,0.10289554281273508,0.10970129797042677
v2_convergence,SU2-HaarU4-brickwork,8,6.0,32,256,deff_pairwise,16,0.03501757392353316,0.10727915235114334,0.10727915235114334
v2_convergence,SU2-HaarU4-brickwork,8,6.0,32,256,enhancement,16,0.02362550148584678,0.10289554281273565,0.10970129797042664
v2_convergence,SU2-HaarU4-brickwork,8,6.0,32,256,pairwise_purity,16,0.035411881453888495,0.09688537179026487,0.09688537179026487
v2_convergence,SU2-HaarU4-brickwork,8,6.0,64,256,Ffull_over_FQ_mean,16,0.005027387311631097,0.012027286230800278,0.012027286230800278
v2_convergence,SU2-HaarU4-brickwork,8,6.0,64,256,actual_retention,16,0.021402732606179815,0.06978910935261712,0.08226830445700167
v2_convergence,SU2-HaarU4-brickwork,8,6.0,64,256,deff_pairwise,16,0.018227668630276424,0.03345830579367278,0.03345830579367278
v2_convergence,SU2-HaarU4-brickwork,8,6.0,64,256,enhancement,16,0.021402732606180398,0.069789109352617,0.08226830445699944
v2_convergence,SU2-HaarU4-brickwork,8,6.0,64,256,pairwise_purity,16,0.01789239769211188,0.03461651576359654,0.03461651576359654
v2_convergence,SU2-HaarU4-brickwork,8,6.0,128,256,Ffull_over_FQ_mean,16,0.003620224510113464,0.007822675024858769,0.007822675024858769
v2_convergence,SU2-HaarU4-brickwork,8,6.0,128,256,actual_retention,16,0.012432065714591666,0.06134039178728372,0.12083528232185729
v2_convergence,SU2-HaarU4-brickwork,8,6.0,128,256,deff_pairwise,16,0.01407607635718442,0.017966053629460212,0.017966053629460212
