profile,family,n,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,k,tangent_count_used,reference_tangent_count,metric,value,reference_value,relative_difference
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,128,256,Ffull_over_FQ_mean,0.4858236897011856,0.4891458344269865,-0.006791726499506311
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,256,256,enhancement,0.9950601483193408,0.9950601483193408,0.0
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,256,256,actual_retention,0.1404790797627304,0.1404790797627304,0.0
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,256,256,deff_pairwise,168.41950603897013,168.41950603897013,0.0
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,256,256,pairwise_purity,0.0059375545239315,0.0059375545239315,0.0
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,256,256,Ffull_over_FQ_mean,0.4891458344269865,0.4891458344269865,0.0
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,32,256,enhancement,0.9603797385091694,0.9906817932006446,-0.030587071347679604
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,32,256,actual_retention,0.030129560423817,0.0310802131200202,-0.030587071347681433
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,32,256,deff_pairwise,154.62214404767326,170.2119321806662,-0.09159045393154716
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,32,256,pairwise_purity,0.0064673789524718,0.0058750287784676,0.10082506764480981
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,32,256,Ffull_over_FQ_mean,0.4949579877514972,0.4890217923617517,0.012138917901953573
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,64,256,enhancement,0.9942157491073648,0.9906817932006446,0.003567195774642022
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,64,256,actual_retention,0.0311910823249369,0.0310802131200202,0.0035671957746416408
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,64,256,deff_pairwise,168.88672365944365,170.2119321806662,-0.007785638199653053
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,64,256,pairwise_purity,0.0059211285430373,0.0058750287784676,0.007846730000482548
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,64,256,Ffull_over_FQ_mean,0.4904079723800897,0.4890217923617517,0.002834597639592699
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,128,256,enhancement,0.982684999993323,0.9906817932006446,-0.008072009864525694
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,128,256,actual_retention,0.0308293333331238,0.0310802131200202,-0.008072009864526893
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,128,256,deff_pairwise,168.18468788177162,170.2119321806662,-0.011910118596990114
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,128,256,pairwise_purity,0.0059458444915209,0.0058750287784676,0.012053679347553891
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,128,256,Ffull_over_FQ_mean,0.4876312713289815,0.4890217923617517,-0.00284347457411791
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,256,256,enhancement,0.9906817932006446,0.9906817932006446,0.0
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,256,256,actual_retention,0.0310802131200202,0.0310802131200202,0.0
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,256,256,deff_pairwise,170.2119321806662,170.2119321806662,0.0
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,256,256,pairwise_purity,0.0058750287784676,0.0058750287784676,0.0
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,1,256,256,Ffull_over_FQ_mean,0.4890217923617517,0.4890217923617517,0.0
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,32,256,enhancement,0.9964343103313716,1.0072601866392994,-0.01074784494763765
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,32,256,actual_retention,0.1406730791056054,0.1422014381137834,-0.01074784494763755
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,32,256,deff_pairwise,154.62214404767326,170.2119321806662,-0.09159045393154716
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,32,256,pairwise_purity,0.0064673789524718,0.0058750287784676,0.10082506764480981
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,32,256,Ffull_over_FQ_mean,0.4949579877514972,0.4890217923617517,0.012138917901953573
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,64,256,enhancement,1.0131426256292058,1.0072601866392994,0.0058400392152230226
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,64,256,actual_retention,0.143031900088829,0.1422014381137834,0.005840039215222824
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,64,256,deff_pairwise,168.88672365944365,170.2119321806662,-0.007785638199653053
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,64,256,pairwise_purity,0.0059211285430373,0.0058750287784676,0.007846730000482548
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,64,256,Ffull_over_FQ_mean,0.4904079723800897,0.4890217923617517,0.002834597639592699
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,128,256,enhancement,1.0129214480171724,1.0072601866392994,0.005620455819624628
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,128,256,actual_retention,0.143000675014189,0.1422014381137834,0.005620455819624535
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,128,256,deff_pairwise,168.18468788177162,170.2119321806662,-0.011910118596990114
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,128,256,pairwise_purity,0.0059458444915209,0.0058750287784676,0.012053679347553891
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,128,256,Ffull_over_FQ_mean,0.4876312713289815,0.4890217923617517,-0.00284347457411791
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,256,256,enhancement,1.0072601866392994,1.0072601866392994,0.0
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,256,256,actual_retention,0.1422014381137834,0.1422014381137834,0.0
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,256,256,deff_pairwise,170.2119321806662,170.2119321806662,0.0
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,256,256,pairwise_purity,0.0058750287784676,0.0058750287784676,0.0
v2_convergence,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,2,256,256,Ffull_over_FQ_mean,0.4890217923617517,0.4890217923617517,0.0
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,32,256,enhancement,0.8824555290220222,0.9798290046055684,-0.09937802935599369
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,32,256,actual_retention,0.0276848793418673,0.0307397334778217,-0.0993780293559941
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,32,256,deff_pairwise,168.86746472159726,169.60736978272934,-0.004362458200253395
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,32,256,pairwise_purity,0.0059218038338447,0.0058959702121495,0.004381572627684927
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,32,256,Ffull_over_FQ_mean,0.4786487632157371,0.4868628744770107,-0.016871508779750768
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,64,256,enhancement,0.9269724028164762,0.9798290046055684,-0.05394472049780741
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,64,256,actual_retention,0.0290814871471835,0.0307397334778217,-0.05394472049780788
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,64,256,deff_pairwise,171.71957037518163,169.60736978272934,0.0124534717751833
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,64,256,pairwise_purity,0.005823448066025,0.0058959702121495,-0.012300290455175212
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,64,256,Ffull_over_FQ_mean,0.4830031745173183,0.4868628744770107,-0.007927694145581608
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,128,256,enhancement,0.9521175489399134,0.9798290046055684,-0.02828193035254178
