profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,contrast,difference,ci95_low,ci95_high,ci_excludes_zero,direction_if_excludes_zero
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.3531298384035922,0.3387185785726797,0.3678650475514032,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,enhancement,U1 minus equal-weight generic-family mean,23.68029636139623,22.909701355993988,24.450782251654477,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,actual_retention,U1 minus equal-weight generic-family mean,0.29072074178881663,0.28104266074888506,0.30000519183525076,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,deff_pairwise,U1 minus equal-weight generic-family mean,-764.7103053077559,-770.6734661524632,-759.2374214028879,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.02404819859743748,0.02360553531568768,0.02444921125893371,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.029575136461730656,-0.03303172502304427,-0.026471471071488138,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.2817334849142356,0.2724060279852941,0.2910934127228497,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,2,enhancement,U1 minus equal-weight generic-family mean,6.7185224632293306,6.606696290894872,6.837673948138146,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,2,actual_retention,U1 minus equal-weight generic-family mean,0.5229231202366763,0.5150213792033064,0.5313303877939415,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,2,deff_pairwise,U1 minus equal-weight generic-family mean,-764.7103053077559,-770.8330070876405,-759.2850059324488,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.02404819859743748,0.02360575526869025,0.02444510554372689,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.029575136461730656,-0.032923361524202145,-0.026481530287563285,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.4715482040730275,0.4637784733032517,0.47955845099837235,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,1,enhancement,U1 minus equal-weight generic-family mean,24.063136153034133,23.416165993994714,24.604214778593573,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,1,actual_retention,U1 minus equal-weight generic-family mean,0.29524247631591866,0.2876826316617007,0.30173887569788604,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,1,deff_pairwise,U1 minus equal-weight generic-family mean,-759.5605637169214,-767.7223626700211,-751.5968238532606,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.024131319644380412,0.023605447456729673,0.024657149220808954,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.027399171787475363,-0.031089630972249014,-0.023635856013826537,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.2862552194413378,0.2784502738477427,0.29279681849809325,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,2,enhancement,U1 minus equal-weight generic-family mean,6.788583984087937,6.697183258479951,6.857581034690147,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,2,actual_retention,U1 minus equal-weight generic-family mean,0.5281374152735163,0.5218072544597907,0.5329261612558689,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,2,deff_pairwise,U1 minus equal-weight generic-family mean,-759.5605637169214,-767.5734034981648,-751.4732231414112,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.024131319644380412,0.023595970706993836,0.02464689531457542,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.027399171787475363,-0.031019358780001793,-0.023706043705465776,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,rademacher,Z,0.0,128,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.47676249910986757,0.4705607387665294,0.48153221027228,True,positive
