profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,families,circuits,estimator
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,sample_covariance_purity,0.0290733981177276,0.028921574865120852,0.02922610553488395,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,sample_covariance_purity,0.11361671973886842,0.11068197852718915,0.11670265300077215,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,trC3_u_stat,0.0005723489045619913,0.0005596863502088434,0.000585051029798496,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,trC3_u_stat,0.013104396740831836,0.012251317851910696,0.01403821373682832,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,Ffull_over_FQ_mean,0.4880235340563678,0.48655082822964746,0.4894644037329361,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,Ffull_over_FQ_mean,0.46634060568669955,0.4589728399753802,0.4737626060982646,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,haar_alignment_z,-0.7661273731586106,-0.97697822652956,-0.5553493650069715,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,haar_alignment_z,4.122249684962154,3.681164221696631,4.54089698874998,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,physical_minus_rank_baseline,-0.007293734446410616,-0.009298939166954673,-0.005268351597981295,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,physical_minus_rank_baseline,0.1416131328114084,0.12629887532680395,0.15505095284847134,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,enhancement,0.9469900031506459,0.935589908540207,0.9585243081921897,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,U1,enhancement,4.218775643990051,4.11631247953475,4.318478483620892,1,20,circuit bootstrap
