profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,mean_regular_fraction,ci95_low,ci95_high,median_regular_fraction,minimum_regular_fraction,circuits
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,160,1.0,1.0,1.0,1.0,1.0,4
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line,10,6.0,gaussian,Z,0.0,160,1.0,1.0,1.0,1.0,1.0,4
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,160,1.0,1.0,1.0,1.0,1.0,4
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork,10,6.0,gaussian,Z,0.0,160,1.0,1.0,1.0,1.0,1.0,4
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,160,1.0,1.0,1.0,1.0,1.0,6
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line,10,6.0,gaussian,Z,0.0,160,1.0,1.0,1.0,1.0,1.0,6
